OBJECTID,ctyua19cd,ctyua19nm,ctyua19nmw,bng_e,bng_n,long,lat,Shape__Area,Shape__Length,GlobalID
204,W06000011,Swansea,Abertawe,264022,197308,-3.96723,51.658058,375349174.33308,147079.196722939,a387ce57-c1e2-44bd-92ff-b7138e76c9e0
205,W06000012,Neath Port Talbot,Castell-nedd Port Talbot,279261,195412,-3.74638,51.644501,448078907.30698,121754.950607047,0eeb3f00-c844-4d2e-acb1-12e2172f071f
206,W06000013,Bridgend,Pen-y-bont ar Ogwr,288231,185870,-3.61375,51.5606,249904235.709549,76958.9733839708,781da414-4c2d-4461-81a6-51bd1d390340
207,W06000014,Vale of Glamorgan,Bro Morgannwg,302946,173081,-3.39803,51.44836,330859792.433872,88779.1007327383,cf35c2e4-7459-4bef-b8fb-f1e837ccaa7e
208,W06000015,Cardiff,Caerdydd,315273,178887,-3.22208,51.502541,142196109.538723,59976.3728987363,599f418b-dd41-428a-93ba-3f8c8847f449
209,W06000016,Rhondda Cynon Taf,Rhondda Cynon Taf,302237,192395,-3.41359,51.621849,422322765.345913,112336.533505479,14f38c63-ed6e-4278-be7f-da24df468455
210,W06000018,Caerphilly,Caerffili,317245,195259,-3.19753,51.650009,277815064.267841,98224.5000004764,4cdbb956-c11d-42c3-8b08-9ad25972ad01
211,W06000019,Blaenau Gwent,Blaenau Gwent,318236,206771,-3.18592,51.753639,109273372.239006,58166.9529683021,8633a935-b488-495e-b30c-d99e4f36a2aa
212,W06000020,Torfaen,Torfaen,327459,200480,-3.05101,51.69836,125716747.279713,68469.967277748,02e734a4-3303-46b2-b28c-e6fec482f4f1
213,W06000021,Monmouthshire,Sir Fynwy,337812,209231,-2.9028,51.778271,854020864.551823,180482.922868724,073cf85e-6834-4263-b18c-a616b09a6061
214,W06000022,Newport,Casnewydd,337897,187432,-2.89769,51.58231,191980302.772194,87207.528793715,a9bd44ef-163c-42cc-9a28-124b2c2212cc
215,W06000023,Powys,Powys,302329,273255,-3.43531,52.34864,5198694946.93759,503347.40166316,5964fbbe-8649-49cd-a453-03dde36ed742
